"","X","rate1_total","rate2_overlap_self","method","cancer"
"1",1,0.00997013352073085,0.402349486049927,"panCTC","NSCLC"
"2",2,0.00326481611618646,0.125560538116592,"scATOMIC","NSCLC"
"3",3,0.355601428906067,0.0108691177076043,"CTCTracer","NSCLC"
"4",4,0.82577887092996,0.00491099921991348,"iCTC","NSCLC"
"5",5,0.0171809335460818,0.465663832570307,"panCTC","PDAC"
"6",6,0.0417106771243005,0.178879310344828,"scATOMIC","PDAC"
"7",7,0.278962626693934,0.00193345685974382,"CTCTracer","PDAC"
"8",8,0.764939209384902,0.0104590525156078,"iCTC","PDAC"
"9",9,0.00846486526448083,0.991266375545852,"panCTC","CRC"
"10",10,0,NA,"scATOMIC","CRC"
"11",11,0.999297674934388,0.00839683361692683,"CTCTracer","CRC"
"12",12,0.953794403578161,0.00879742665581522,"iCTC","CRC"
"13",13,0.00780508072174739,0.110266159695817,"panCTC","HCC"
"14",14,5.93542260208927e-05,0,"scATOMIC","HCC"
"15",15,0.363945275403609,0.00236474089778611,"CTCTracer","HCC"
"16",16,0.888072768281102,0.000969105582382329,"iCTC","HCC"
"17",17,0,NA,"panCTC","OVC"
"18",18,0.00937536622524317,0.0194444444444444,"scATOMIC","OVC"
"19",19,0.322668854252119,0.000564971751412429,"CTCTracer","OVC"
"20",20,0.752347096891806,0.000242306760358614,"iCTC","OVC"
"21",21,0.00574047703809185,0.984496124031008,"panCTC","GC"
"22",22,0,NA,"scATOMIC","GC"
"23",23,0.998398006407974,0.00566054555179176,"CTCTracer","GC"
"24",24,0.9937700249199,0.00568690668099588,"iCTC","GC"
"25",25,0.000941100113581048,0.758620689655172,"panCTC","BC"
"26",26,0.000421872464708746,0.692307692307692,"scATOMIC","BC"
"27",27,0.986240467304884,0.00102003882728439,"CTCTracer","BC"
"28",28,0.718643517767321,0.00139986452923911,"iCTC","BC"
"29",29,0.000430595787990292,0.454545454545455,"panCTC","Melanoma"
"30",30,0.000665466217803179,0.529411764705882,"scATOMIC","Melanoma"
"31",31,0.987395286933375,0.000555026958452268,"CTCTracer","Melanoma"
"32",32,0.403468253346904,0.00135830018434074,"iCTC","Melanoma"
"33",NA,0.0033,0.73,"scGPT","BC"
"34",NA,0.003,0.74,"scfoundation","BC"
"35",NA,0.006,0.85,"scGPT","CRC"
"36",NA,0.005,0.89,"scfoundation","CRC"
"37",NA,0.01,0.3,"scGPT","GC"
"38",NA,0.01,0.43,"scfoundation","GC"
"39",NA,0.009,0.05,"scGPT","HCC"
"40",NA,0.008,0.07,"scfoundation","HCC"
"41",NA,0.008,0.02,"scGPT","Melanoma"
"42",NA,0.009,0.018,"scfoundation","Melanoma"
"43",NA,0.004,0.1,"scGPT","NSCLC"
"44",NA,0.003,0.12,"scfoundation","NSCLC"
"45",NA,0.009,0.005,"scGPT","OVC"
"46",NA,0.009,0.006,"scfoundation","OVC"
"47",NA,0.007,0.32,"scGPT","PDAC"
"48",NA,0.006,0.36,"scfoundation","PDAC"
