"","Sample","Method_other","value_other","value_panctc","Metr"
"1","WBC_GSE94820+BC_GSE144494_CL","copykat",1,0.892857142857143,"Sensitivity"
"2","WBC_GSE94820+BC_GSE144494_SC","copykat",0.981308411214953,0.794392523364486,"Sensitivity"
"3","WBC_GSE94820+BC_GSE144495_SC","copykat",0,0.788990825688073,"Sensitivity"
"4","WBC_GSE94820+BC_GSE51827_CL","copykat",0.428571428571429,0.928571428571429,"Sensitivity"
"5","WBC_GSE94820+BC_GSE51827_SC","copykat",1,0.866666666666667,"Sensitivity"
"6","WBC_GSE94820+BC_GSE55807_SC","copykat",0,1,"Sensitivity"
"7","WBC_GSE94820+BC_GSE75367_SC","copykat",0,0.754098360655738,"Sensitivity"
"8","WBC_GSE94820+BC_GSE86978_CL","copykat",0,0.863636363636364,"Sensitivity"
"9","WBC_GSE94820+BC_GSE86978_SC","copykat",0,0.836363636363636,"Sensitivity"
"10","WBC_GSE94820+HCC_CNP0000095_SC","copykat",0,0.699115044247788,"Sensitivity"
"11","WBC_GSE94820+MELA_GSE157740_SC","copykat",0,1,"Sensitivity"
"12","WBC_GSE94820+MELA_GSE157743_SC1","copykat",1,0.776315789473684,"Sensitivity"
"13","WBC_GSE94820+MELA_GSE157743_SC2","copykat",0.05,1,"Sensitivity"
"14","WBC_GSE94820+NSCLC_GSE74639_SC","copykat",1,1,"Sensitivity"
"15","WBC_GSE94820+PC_GSE67980_SC","copykat",1,1,"Sensitivity"
"16","WBC_GSE94820+BC_GSE144494_CL","CTCTracer",1,0.892857142857143,"Sensitivity"
"17","WBC_GSE94820+BC_GSE144494_SC","CTCTracer",1,0.794392523364486,"Sensitivity"
"18","WBC_GSE94820+BC_GSE144495_SC","CTCTracer",1,0.788990825688073,"Sensitivity"
"19","WBC_GSE94820+BC_GSE51827_CL","CTCTracer",1,0.928571428571429,"Sensitivity"
"20","WBC_GSE94820+BC_GSE51827_SC","CTCTracer",1,0.866666666666667,"Sensitivity"
"21","WBC_GSE94820+BC_GSE55807_SC","CTCTracer",1,1,"Sensitivity"
"22","WBC_GSE94820+BC_GSE75367_SC","CTCTracer",1,0.754098360655738,"Sensitivity"
"23","WBC_GSE94820+BC_GSE86978_CL","CTCTracer",1,0.863636363636364,"Sensitivity"
"24","WBC_GSE94820+BC_GSE86978_SC","CTCTracer",1,0.836363636363636,"Sensitivity"
"25","WBC_GSE94820+HCC_CNP0000095_SC","CTCTracer",1,0.699115044247788,"Sensitivity"
"26","WBC_GSE94820+MELA_GSE157740_SC","CTCTracer",1,1,"Sensitivity"
"27","WBC_GSE94820+MELA_GSE157743_SC1","CTCTracer",1,0.776315789473684,"Sensitivity"
"28","WBC_GSE94820+MELA_GSE157743_SC2","CTCTracer",1,1,"Sensitivity"
"29","WBC_GSE94820+NSCLC_GSE74639_SC","CTCTracer",1,1,"Sensitivity"
"30","WBC_GSE94820+PC_GSE67980_SC","CTCTracer",1,1,"Sensitivity"
"31","WBC_GSE94820+BC_GSE144494_CL","iCTC",1,0.892857142857143,"Sensitivity"
"32","WBC_GSE94820+BC_GSE144494_SC","iCTC",0.97196261682243,0.794392523364486,"Sensitivity"
"33","WBC_GSE94820+BC_GSE144495_SC","iCTC",1,0.788990825688073,"Sensitivity"
"34","WBC_GSE94820+BC_GSE51827_CL","iCTC",1,0.928571428571429,"Sensitivity"
"35","WBC_GSE94820+BC_GSE51827_SC","iCTC",1,0.866666666666667,"Sensitivity"
"36","WBC_GSE94820+BC_GSE55807_SC","iCTC",1,1,"Sensitivity"
"37","WBC_GSE94820+BC_GSE75367_SC","iCTC",1,0.754098360655738,"Sensitivity"
"38","WBC_GSE94820+BC_GSE86978_CL","iCTC",1,0.863636363636364,"Sensitivity"
"39","WBC_GSE94820+BC_GSE86978_SC","iCTC",1,0.836363636363636,"Sensitivity"
"40","WBC_GSE94820+HCC_CNP0000095_SC","iCTC",0.982300884955752,0.699115044247788,"Sensitivity"
"41","WBC_GSE94820+MELA_GSE157740_SC","iCTC",1,1,"Sensitivity"
"42","WBC_GSE94820+MELA_GSE157743_SC1","iCTC",0.960526315789474,0.776315789473684,"Sensitivity"
"43","WBC_GSE94820+MELA_GSE157743_SC2","iCTC",1,1,"Sensitivity"
"44","WBC_GSE94820+NSCLC_GSE74639_SC","iCTC",1,1,"Sensitivity"
"45","WBC_GSE94820+PC_GSE67980_SC","iCTC",1,1,"Sensitivity"
"46","WBC_GSE94820+BC_GSE144494_CL","scATOMIC",0.571428571428571,0.892857142857143,"Sensitivity"
"47","WBC_GSE94820+BC_GSE144494_SC","scATOMIC",0.271028037383178,0.794392523364486,"Sensitivity"
"48","WBC_GSE94820+BC_GSE144495_SC","scATOMIC",0.357798165137615,0.788990825688073,"Sensitivity"
"49","WBC_GSE94820+BC_GSE51827_CL","scATOMIC",0.642857142857143,0.928571428571429,"Sensitivity"
"50","WBC_GSE94820+BC_GSE51827_SC","scATOMIC",0,0.866666666666667,"Sensitivity"
"51","WBC_GSE94820+BC_GSE55807_SC","scATOMIC",0,1,"Sensitivity"
"52","WBC_GSE94820+BC_GSE75367_SC","scATOMIC",0.442622950819672,0.754098360655738,"Sensitivity"
"53","WBC_GSE94820+BC_GSE86978_CL","scATOMIC",0.727272727272727,0.863636363636364,"Sensitivity"
"54","WBC_GSE94820+BC_GSE86978_SC","scATOMIC",0.327272727272727,0.836363636363636,"Sensitivity"
