"","Sample","N_allcells","Method_other","value_other","value_panctc","Metr"
"1","GSE199994_HD1+GSE147082_OVCme_malignant",7176,"CTCTracer",0.333333333333333,1,"Sensitivity"
"2","GSE199994_HD1+GSE147082_OVCme_malignant",7086,"CTCTracer",1,0.9,"Sensitivity"
"3","GSE199994_HD1+GSE147082_OVCme_malignant",7101,"CTCTracer",0.96,1,"Sensitivity"
"4","GSE199994_HD1+GSE147082_OVCme_malignant",7079,"CTCTracer",0.01,1,"Sensitivity"
"5","GSE199994_HD1+GSE163558_GCme_malignant",7176,"CTCTracer",0,0.96,"Sensitivity"
"6","GSE199994_HD1+GSE163558_GCme_malignant",7086,"CTCTracer",1,1,"Sensitivity"
"7","GSE199994_HD1+GSE163558_GCme_malignant",7101,"CTCTracer",1,1,"Sensitivity"
"8","GSE199994_HD1+GSE163558_GCme_malignant",7079,"CTCTracer",0,1,"Sensitivity"
"9","GSE199994_HD1+GSE176029_LiverMela_malignant",7176,"CTCTracer",0,0.98,"Sensitivity"
"10","GSE199994_HD1+GSE176029_LiverMela_malignant",7086,"CTCTracer",1,1,"Sensitivity"
"11","GSE199994_HD1+GSE176029_LiverMela_malignant",7101,"CTCTracer",1,1,"Sensitivity"
"12","GSE199994_HD1+GSE176029_LiverMela_malignant",7079,"CTCTracer",0,1,"Sensitivity"
"13","GSE199994_HD1+GSE163558_GCme_malignant",7086,"iCTC",0,1,"Sensitivity"
"14","GSE199994_HD1+GSE147082_OVCme_malignant",7079,"scATOMIC",0,1,"Sensitivity"
"15","GSE199994_HD1+GSE147082_OVCme_malignant",7086,"scATOMIC",0.8,0.9,"Sensitivity"
"16","GSE199994_HD1+GSE147082_OVCme_malignant",7101,"scATOMIC",1,1,"Sensitivity"
"17","GSE199994_HD1+GSE147082_OVCme_malignant",7176,"scATOMIC",1,1,"Sensitivity"
"18","GSE199994_HD1+GSE163558_GCme_malignant",7079,"scATOMIC",0,1,"Sensitivity"
"19","GSE199994_HD1+GSE163558_GCme_malignant",7086,"scATOMIC",0.9,1,"Sensitivity"
"20","GSE199994_HD1+GSE163558_GCme_malignant",7101,"scATOMIC",1,1,"Sensitivity"
"21","GSE199994_HD1+GSE163558_GCme_malignant",7176,"scATOMIC",0.99,0.96,"Sensitivity"
"22","GSE199994_HD1+GSE176029_LiverMela_malignant",7079,"scATOMIC",0,1,"Sensitivity"
"23","GSE199994_HD1+GSE176029_LiverMela_malignant",7086,"scATOMIC",1,1,"Sensitivity"
"24","GSE199994_HD1+GSE176029_LiverMela_malignant",7101,"scATOMIC",1,1,"Sensitivity"
"25","GSE199994_HD1+GSE176029_LiverMela_malignant",7176,"scATOMIC",0.99,0.98,"Sensitivity"
"26","GSE155698_PBMC1+GSE147082_OVCme_malignant",2723,"CTCTracer",1,1,"Sensitivity"
"27","GSE155698_PBMC1+GSE147082_OVCme_malignant",2730,"CTCTracer",1,1,"Sensitivity"
"28","GSE155698_PBMC1+GSE147082_OVCme_malignant",2745,"CTCTracer",1,1,"Sensitivity"
"29","GSE155698_PBMC1+GSE147082_OVCme_malignant",2820,"CTCTracer",0.98,0.99,"Sensitivity"
"30","GSE155698_PBMC1+GSE163558_GCme_malignant",2723,"CTCTracer",1,1,"Sensitivity"
"31","GSE155698_PBMC1+GSE163558_GCme_malignant",2730,"CTCTracer",1,1,"Sensitivity"
"32","GSE155698_PBMC1+GSE163558_GCme_malignant",2745,"CTCTracer",1,0.96,"Sensitivity"
"33","GSE155698_PBMC1+GSE163558_GCme_malignant",2820,"CTCTracer",1,0.99,"Sensitivity"
"34","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2723,"CTCTracer",1,1,"Sensitivity"
"35","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2730,"CTCTracer",1,1,"Sensitivity"
"36","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2745,"CTCTracer",1,1,"Sensitivity"
"37","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2820,"CTCTracer",1,0.99,"Sensitivity"
"38","GSE155698_PBMC1+GSE147082_OVCme_malignant",2723,"scATOMIC",0,1,"Sensitivity"
"39","GSE155698_PBMC1+GSE147082_OVCme_malignant",2730,"scATOMIC",1,1,"Sensitivity"
"40","GSE155698_PBMC1+GSE147082_OVCme_malignant",2745,"scATOMIC",0.36,1,"Sensitivity"
"41","GSE155698_PBMC1+GSE147082_OVCme_malignant",2820,"scATOMIC",0.99,0.99,"Sensitivity"
"42","GSE155698_PBMC1+GSE163558_GCme_malignant",2723,"scATOMIC",0,1,"Sensitivity"
"43","GSE155698_PBMC1+GSE163558_GCme_malignant",2730,"scATOMIC",0.8,1,"Sensitivity"
"44","GSE155698_PBMC1+GSE163558_GCme_malignant",2745,"scATOMIC",0.76,0.96,"Sensitivity"
"45","GSE155698_PBMC1+GSE163558_GCme_malignant",2820,"scATOMIC",0.96,0.99,"Sensitivity"
"46","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2723,"scATOMIC",1,1,"Sensitivity"
"47","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2730,"scATOMIC",1,1,"Sensitivity"
"48","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2745,"scATOMIC",1,1,"Sensitivity"
"49","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2820,"scATOMIC",0.99,0.99,"Sensitivity"
"50","GSE155698_PBMC1+GSE147082_OVCme_malignant",2723,"scfoundation",0,1,"Sensitivity"
"51","GSE155698_PBMC1+GSE147082_OVCme_malignant",2730,"scfoundation",0.1,1,"Sensitivity"
"52","GSE155698_PBMC1+GSE147082_OVCme_malignant",2745,"scfoundation",0.08,1,"Sensitivity"
"53","GSE155698_PBMC1+GSE147082_OVCme_malignant",2820,"scfoundation",0.06,0.99,"Sensitivity"
"54","GSE155698_PBMC1+GSE163558_GCme_malignant",2723,"scfoundation",0,1,"Sensitivity"
"55","GSE155698_PBMC1+GSE163558_GCme_malignant",2730,"scfoundation",0.1,1,"Sensitivity"
"56","GSE155698_PBMC1+GSE163558_GCme_malignant",2745,"scfoundation",0.08,0.96,"Sensitivity"
"57","GSE155698_PBMC1+GSE163558_GCme_malignant",2820,"scfoundation",0.15,0.99,"Sensitivity"
"58","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2723,"scfoundation",0,1,"Sensitivity"
"59","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2730,"scfoundation",0.2,1,"Sensitivity"
"60","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2745,"scfoundation",0.08,1,"Sensitivity"
"61","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2820,"scfoundation",0.07,0.99,"Sensitivity"
"62","GSE155698_PBMC1+GSE147082_OVCme_malignant",2723,"scGPT",0,1,"Sensitivity"
"63","GSE155698_PBMC1+GSE147082_OVCme_malignant",2730,"scGPT",0.1,1,"Sensitivity"
"64","GSE155698_PBMC1+GSE147082_OVCme_malignant",2745,"scGPT",0.04,1,"Sensitivity"
"65","GSE155698_PBMC1+GSE147082_OVCme_malignant",2820,"scGPT",0.03,0.99,"Sensitivity"
"66","GSE155698_PBMC1+GSE163558_GCme_malignant",2723,"scGPT",0,1,"Sensitivity"
"67","GSE155698_PBMC1+GSE163558_GCme_malignant",2730,"scGPT",0.1,1,"Sensitivity"
"68","GSE155698_PBMC1+GSE163558_GCme_malignant",2745,"scGPT",0.08,0.96,"Sensitivity"
"69","GSE155698_PBMC1+GSE163558_GCme_malignant",2820,"scGPT",0.14,0.99,"Sensitivity"
"70","GSE155698_PBMC1+GSE176029_LiverMela_malignant",2723,"scGPT",0,1,"Sensitivity"
