"","Sample","N_allcells","N_cancercells","Method_other","value_other","value_panctc","Metr"
"1","GSE199994_HD1+E-MTAB-11948_Cervix_Epi",7079,3,"copykat",0,1,"Sensitivity"
"2","GSE199994_HD1+E-MTAB-11948_Cervix_Epi",7086,10,"copykat",0,1,"Sensitivity"
"3","GSE199994_HD1+E-MTAB-11948_Cervix_Epi",7101,25,"copykat",0.16,1,"Sensitivity"
"4","GSE199994_HD1+E-MTAB-11948_Cervix_Epi",7176,100,"copykat",0,1,"Sensitivity"
"5","GSE199994_HD1+GSE132465_CRC_Epi",7079,3,"copykat",1,1,"Sensitivity"
"6","GSE199994_HD1+GSE132465_CRC_Epi",7086,10,"copykat",0,1,"Sensitivity"
"7","GSE199994_HD1+GSE132465_CRC_Epi",7101,25,"copykat",0,1,"Sensitivity"
"8","GSE199994_HD1+GSE132465_CRC_Epi",7176,100,"copykat",0.91,1,"Sensitivity"
"9","GSE199994_HD1+GSE155698_PDAC_Epi",7079,3,"copykat",0,1,"Sensitivity"
"10","GSE199994_HD1+GSE155698_PDAC_Epi",7086,10,"copykat",0.7,1,"Sensitivity"
"11","GSE199994_HD1+GSE155698_PDAC_Epi",7101,25,"copykat",0,1,"Sensitivity"
"12","GSE199994_HD1+GSE155698_PDAC_Epi",7176,100,"copykat",0,0.99,"Sensitivity"
"13","GSE199994_HD1+GSE162025_NPC_Epi",7079,3,"copykat",0,1,"Sensitivity"
"14","GSE199994_HD1+GSE162025_NPC_Epi",7086,10,"copykat",0,1,"Sensitivity"
"15","GSE199994_HD1+GSE162025_NPC_Epi",7101,25,"copykat",0,1,"Sensitivity"
"16","GSE199994_HD1+GSE162025_NPC_Epi",7176,100,"copykat",0,1,"Sensitivity"
"17","GSE199994_HD1+GSE168652_Cervix_Epi",7079,3,"copykat",0,1,"Sensitivity"
"18","GSE199994_HD1+GSE168652_Cervix_Epi",7086,10,"copykat",0,1,"Sensitivity"
"19","GSE199994_HD1+GSE168652_Cervix_Epi",7101,25,"copykat",0,1,"Sensitivity"
"20","GSE199994_HD1+GSE168652_Cervix_Epi",7176,100,"copykat",0,1,"Sensitivity"
"21","GSE199994_HD1+GSE173682_Endome_Epi",7079,3,"copykat",0,1,"Sensitivity"
"22","GSE199994_HD1+GSE173682_Endome_Epi",7086,10,"copykat",0,1,"Sensitivity"
"23","GSE199994_HD1+GSE173682_Endome_Epi",7101,25,"copykat",0,1,"Sensitivity"
"24","GSE199994_HD1+GSE173682_Endome_Epi",7176,100,"copykat",0,1,"Sensitivity"
"25","GSE199994_HD1+GSE173682_Ovarian_Epi",7079,3,"copykat",0,1,"Sensitivity"
"26","GSE199994_HD1+GSE173682_Ovarian_Epi",7086,10,"copykat",0.8,1,"Sensitivity"
