"","Smp","Method_other","Acc_other","Acc_panctc"
"1","BC_GSE144494_CL_n28","CTCTracer",8.82613e-06,0.178571428571429
"2","BC_GSE144494_SC_n107","CTCTracer",2.475248e-05,0.130841121495327
"3","BC_GSE144495_SC_n109","CTCTracer",0.00010708402,0.201834862385321
"4","BC_GSE51827_CL_n14","CTCTracer",8.93655e-06,0.214285714285714
"5","BC_GSE51827_SC_n15","CTCTracer",0,0.133333333333333
"6","BC_GSE55807_SC_n6","CTCTracer",5.40054e-05,0
"7","BC_GSE75367_SC_n61","CTCTracer",6.861063e-05,0.245901639344262
"8","BC_GSE86978_CL_n22","CTCTracer",8.87311e-06,0.181818181818182
"9","BC_GSE86978_SC_n55","CTCTracer",8.62069e-06,0.109090909090909
"10","HCC_CNP0000095_SC_n113","CTCTracer",0.00085385878,0.725663716814159
"11","MELA_GSE157740_SC_n13","CTCTracer",0.00064400716,1
"12","MELA_GSE157743_SC1_n76","CTCTracer",0.00061812024,0.25
"13","MELA_GSE157743_SC2_n20","CTCTracer",0.00074666667,1
"14","NSCLC_GSE74639_SC_n10","CTCTracer",0.00064573991,0.1
"15","PC_GSE67980_SC_n77","CTCTracer",0.00140439932,0.467532467532468
"16","BC_GSE144494_CL_n28","scATOMIC",0,0.178571428571429
"17","BC_GSE144494_SC_n107","scATOMIC",0,0.130841121495327
"18","BC_GSE144495_SC_n109","scATOMIC",0.166666666666667,0.201834862385321
"19","BC_GSE51827_CL_n14","scATOMIC",0,0.214285714285714
"20","BC_GSE51827_SC_n15","scATOMIC",0,0.133333333333333
"21","BC_GSE55807_SC_n6","scATOMIC",0,0
"22","BC_GSE75367_SC_n61","scATOMIC",0.2,0.245901639344262
"23","BC_GSE86978_CL_n22","scATOMIC",0,0.181818181818182
"24","BC_GSE86978_SC_n55","scATOMIC",0,0.109090909090909
"25","HCC_CNP0000095_SC_n113","scATOMIC",1,0.725663716814159
"26","MELA_GSE157740_SC_n13","scATOMIC",1,1
"27","MELA_GSE157743_SC1_n76","scATOMIC",0,0.25
"28","MELA_GSE157743_SC2_n20","scATOMIC",1,1
"29","NSCLC_GSE74639_SC_n10","scATOMIC",0,0.1
"30","PC_GSE67980_SC_n77","scATOMIC",1,0.467532467532468
"31","BC_GSE144494_CL_n28","scfoundation",0,0.178571428571429
"32","BC_GSE144494_SC_n107","scfoundation",0,0.130841121495327
"33","BC_GSE144495_SC_n109","scfoundation",0,0.201834862385321
"34","BC_GSE51827_CL_n14","scfoundation",0,0.214285714285714
"35","BC_GSE51827_SC_n15","scfoundation",0,0.133333333333333
"36","BC_GSE55807_SC_n6","scfoundation",0,0
"37","BC_GSE75367_SC_n61","scfoundation",0,0.245901639344262
"38","BC_GSE86978_CL_n22","scfoundation",0,0.181818181818182
"39","BC_GSE86978_SC_n55","scfoundation",0,0.109090909090909
"40","HCC_CNP0000095_SC_n113","scfoundation",0.215106732,0.725663716814159
"41","MELA_GSE157740_SC_n13","scfoundation",0,1
"42","MELA_GSE157743_SC1_n76","scfoundation",0,0.25
"43","MELA_GSE157743_SC2_n20","scfoundation",0,1
"44","NSCLC_GSE74639_SC_n10","scfoundation",0,0.1
"45","PC_GSE67980_SC_n77","scfoundation",0.005922166,0.467532467532468
"46","BC_GSE144494_CL_n28","scGPT",0.000882613,0.178571428571429
"47","BC_GSE144494_SC_n107","scGPT",0.002475248,0.130841121495327
"48","BC_GSE144495_SC_n109","scGPT",0.010708402,0.201834862385321
"49","BC_GSE51827_CL_n14","scGPT",0.000893655,0.214285714285714
"50","BC_GSE51827_SC_n15","scGPT",0,0.133333333333333
"51","BC_GSE55807_SC_n6","scGPT",0.00540054,0
"52","BC_GSE75367_SC_n61","scGPT",0.006861063,0.245901639344262
"53","BC_GSE86978_CL_n22","scGPT",0.000887311,0.181818181818182
"54","BC_GSE86978_SC_n55","scGPT",0.000862069,0.109090909090909
"55","HCC_CNP0000095_SC_n113","scGPT",0.085385878,0.725663716814159
"56","MELA_GSE157740_SC_n13","scGPT",0.064400716,1
"57","MELA_GSE157743_SC1_n76","scGPT",0.061812024,0.25
"58","MELA_GSE157743_SC2_n20","scGPT",0.074666667,1
"59","NSCLC_GSE74639_SC_n10","scGPT",0.064573991,0.1
"60","PC_GSE67980_SC_n77","scGPT",0.140439932,0.467532467532468
