"","Smp","Method_other","Acc_other","Acc_panctc"
"1","GSE147082_OVCme_malignant_n100","CTCTracer",0,0.35
"2","GSE147082_OVCme_malignant_n100","CTCTracer",0,0.36
"3","GSE147082_OVCme_malignant_n10","CTCTracer",0,0.3
"4","GSE147082_OVCme_malignant_n10","CTCTracer",0,0.5
"5","GSE147082_OVCme_malignant_n25","CTCTracer",0,0.28
"6","GSE147082_OVCme_malignant_n25","CTCTracer",0,0.4
"7","GSE147082_OVCme_malignant_n3","CTCTracer",0,0.666666667
"8","GSE147082_OVCme_malignant_n3","CTCTracer",0,0
"9","GSE163558_GCme_malignant_n100","CTCTracer",0,0.5
"10","GSE163558_GCme_malignant_n100","CTCTracer",0,0.65
"11","GSE163558_GCme_malignant_n10","CTCTracer",0,0.8
"12","GSE163558_GCme_malignant_n10","CTCTracer",0,0.6
"13","GSE163558_GCme_malignant_n25","CTCTracer",0,0.56
"14","GSE163558_GCme_malignant_n25","CTCTracer",0,0.52
"15","GSE163558_GCme_malignant_n3","CTCTracer",0,0.333333333
"16","GSE163558_GCme_malignant_n3","CTCTracer",0,0
"17","GSE176029_LiverMela_malignant_n100","CTCTracer",0.74,0.99
"18","GSE176029_LiverMela_malignant_n100","CTCTracer",0.74,0.95
"19","GSE176029_LiverMela_malignant_n10","CTCTracer",0.7,1
"20","GSE176029_LiverMela_malignant_n10","CTCTracer",0.7,1
"21","GSE176029_LiverMela_malignant_n25","CTCTracer",0.8,0.96
"22","GSE176029_LiverMela_malignant_n25","CTCTracer",0.8,0.96
"23","GSE176029_LiverMela_malignant_n3","CTCTracer",0.666666667,1
"24","GSE176029_LiverMela_malignant_n3","CTCTracer",0.666666667,1
"25","GSE147082_OVCme_malignant_n100","CTCTracer",0,0.35
"26","GSE147082_OVCme_malignant_n100","CTCTracer",0,0.36
"27","GSE147082_OVCme_malignant_n10","CTCTracer",0,0.3
"28","GSE147082_OVCme_malignant_n10","CTCTracer",0,0.5
"29","GSE147082_OVCme_malignant_n25","CTCTracer",0,0.28
"30","GSE147082_OVCme_malignant_n25","CTCTracer",0,0.4
"31","GSE147082_OVCme_malignant_n3","CTCTracer",0,0.666666667
"32","GSE147082_OVCme_malignant_n3","CTCTracer",0,0
"33","GSE163558_GCme_malignant_n100","CTCTracer",0,0.5
"34","GSE163558_GCme_malignant_n100","CTCTracer",0,0.65
"35","GSE163558_GCme_malignant_n10","CTCTracer",0,0.8
"36","GSE163558_GCme_malignant_n10","CTCTracer",0,0.6
"37","GSE163558_GCme_malignant_n25","CTCTracer",0,0.56
"38","GSE163558_GCme_malignant_n25","CTCTracer",0,0.52
"39","GSE163558_GCme_malignant_n3","CTCTracer",0,0.333333333
"40","GSE163558_GCme_malignant_n3","CTCTracer",0,0
"41","GSE176029_LiverMela_malignant_n100","CTCTracer",0.75,0.99
"42","GSE176029_LiverMela_malignant_n100","CTCTracer",0.75,0.95
"43","GSE176029_LiverMela_malignant_n10","CTCTracer",0.7,1
"44","GSE176029_LiverMela_malignant_n10","CTCTracer",0.7,1
"45","GSE176029_LiverMela_malignant_n25","CTCTracer",0.72,0.96
"46","GSE176029_LiverMela_malignant_n25","CTCTracer",0.72,0.96
"47","GSE176029_LiverMela_malignant_n3","CTCTracer",0.333333333,1
"48","GSE176029_LiverMela_malignant_n3","CTCTracer",0.333333333,1
"49","GSE147082_OVCme_malignant_n3","scATOMIC",0,0.666666667
"50","GSE147082_OVCme_malignant_n3","scATOMIC",0,0
"51","GSE147082_OVCme_malignant_n10","scATOMIC",0,0.3
"52","GSE147082_OVCme_malignant_n10","scATOMIC",0,0.5
"53","GSE147082_OVCme_malignant_n25","scATOMIC",0.36,0.28
"54","GSE147082_OVCme_malignant_n25","scATOMIC",0.36,0.4
"55","GSE147082_OVCme_malignant_n100","scATOMIC",0.99,0.35
"56","GSE147082_OVCme_malignant_n100","scATOMIC",0.99,0.36
"57","GSE163558_GCme_malignant_n3","scATOMIC",0,0.333333333
"58","GSE163558_GCme_malignant_n3","scATOMIC",0,0
"59","GSE163558_GCme_malignant_n10","scATOMIC",0,0.8
"60","GSE163558_GCme_malignant_n10","scATOMIC",0,0.6
"61","GSE163558_GCme_malignant_n25","scATOMIC",0,0.56
"62","GSE163558_GCme_malignant_n25","scATOMIC",0,0.52
"63","GSE163558_GCme_malignant_n100","scATOMIC",0,0.5
"64","GSE163558_GCme_malignant_n100","scATOMIC",0,0.65
"65","GSE176029_LiverMela_malignant_n3","scATOMIC",1,1
"66","GSE176029_LiverMela_malignant_n3","scATOMIC",1,1
"67","GSE176029_LiverMela_malignant_n10","scATOMIC",1,1
"68","GSE176029_LiverMela_malignant_n10","scATOMIC",1,1
"69","GSE176029_LiverMela_malignant_n25","scATOMIC",1,0.96
"70","GSE176029_LiverMela_malignant_n25","scATOMIC",1,0.96
"71","GSE176029_LiverMela_malignant_n100","scATOMIC",0.99,0.99
"72","GSE176029_LiverMela_malignant_n100","scATOMIC",0.99,0.95
"73","GSE147082_OVCme_malignant_n10","scfoundation",1,0.3
"74","GSE147082_OVCme_malignant_n10","scfoundation",1,0.5
"75","GSE147082_OVCme_malignant_n25","scfoundation",1,0.28
"76","GSE147082_OVCme_malignant_n25","scfoundation",1,0.4
"77","GSE147082_OVCme_malignant_n100","scfoundation",1,0.35
"78","GSE147082_OVCme_malignant_n100","scfoundation",1,0.36
"79","GSE163558_GCme_malignant_n10","scfoundation",0,0.8
"80","GSE163558_GCme_malignant_n10","scfoundation",0,0.6
"81","GSE163558_GCme_malignant_n25","scfoundation",0.5,0.56
