"","Accuracy","Sample","Immune cells added","Group","variable","value","Group2"
"1",0.999700837654567,"pseudoPBMC_10000_BC_GSE144494_CL_n28.csv","Immune cells
n=10000","CTC cluster","Specificity",1,"CTC cluster"
"2",0.997823290788562,"pseudoPBMC_10000_BC_GSE144494_SC_n107.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"3",0.99772479968345,"pseudoPBMC_10000_BC_GSE144495_SC_n109.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"4",0.999900139804274,"pseudoPBMC_10000_BC_GSE51827_CL_n14.csv","Immune cells
n=10000","CTC cluster","Specificity",1,"CTC cluster"
"5",0.999800299550674,"pseudoPBMC_10000_BC_GSE51827_SC_n15.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"6",1,"pseudoPBMC_10000_BC_GSE55807_SC_n6.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"7",0.998509094523407,"pseudoPBMC_10000_BC_GSE75367_SC_n61.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"8",0.999700658551187,"pseudoPBMC_10000_BC_GSE86978_CL_n22.csv","Immune cells
n=10000","CTC cluster","Specificity",1,"CTC cluster"
"9",0.999104922923919,"pseudoPBMC_10000_BC_GSE86978_SC_n55.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"10",0.996637990705033,"pseudoPBMC_10000_HCC_CNP0000095_SC_n113.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"11",1,"pseudoPBMC_10000_MELA_GSE157740_SC_n13.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"12",0.99831282254863,"pseudoPBMC_10000_MELA_GSE157743_SC1_n76.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"13",1,"pseudoPBMC_10000_MELA_GSE157743_SC2_n20.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"14",1,"pseudoPBMC_10000_NSCLC_GSE74639_SC_n10.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"15",1,"pseudoPBMC_10000_PC_GSE67980_SC_n77.csv","Immune cells
n=10000","Single CTC","Specificity",1,"Single CTC"
"16",0.999601487778959,"pseudoPBMC_7500_BC_GSE144494_CL_n28.csv","Immune cells
n=7500","CTC cluster","Specificity",1,"CTC cluster"
"17",0.997107926909426,"pseudoPBMC_7500_BC_GSE144494_SC_n107.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"18",0.996977263766592,"pseudoPBMC_7500_BC_GSE144495_SC_n109.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"19",0.999866915091829,"pseudoPBMC_7500_BC_GSE51827_CL_n14.csv","Immune cells
n=7500","CTC cluster","Specificity",1,"CTC cluster"
"20",0.999733865602129,"pseudoPBMC_7500_BC_GSE51827_SC_n15.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"21",1,"pseudoPBMC_7500_BC_GSE55807_SC_n6.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"22",0.998016135431821,"pseudoPBMC_7500_BC_GSE75367_SC_n61.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"23",0.999601169901622,"pseudoPBMC_7500_BC_GSE86978_CL_n22.csv","Immune cells
n=7500","CTC cluster","Specificity",1,"CTC cluster"
"24",0.998808735936466,"pseudoPBMC_7500_BC_GSE86978_SC_n55.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"25",0.995533955076842,"pseudoPBMC_7500_HCC_CNP0000095_SC_n113.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"26",1,"pseudoPBMC_7500_MELA_GSE157740_SC_n13.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"27",0.997756071805702,"pseudoPBMC_7500_MELA_GSE157743_SC1_n76.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"28",1,"pseudoPBMC_7500_MELA_GSE157743_SC2_n20.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"29",1,"pseudoPBMC_7500_NSCLC_GSE74639_SC_n10.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"30",1,"pseudoPBMC_7500_PC_GSE67980_SC_n77.csv","Immune cells
n=7500","Single CTC","Specificity",1,"Single CTC"
"31",0.998908296943231,"predict_GSE155698_Healthy_PBMC_1_BC_GSE144494_CL_n28.csv","GSE155698 HD1
n=2720","CTC cluster","Specificity",1,"CTC cluster"
"32",0.992217898832685,"predict_GSE155698_Healthy_PBMC_1_BC_GSE144494_SC_n107.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"33",0.991869918699187,"predict_GSE155698_Healthy_PBMC_1_BC_GSE144495_SC_n109.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"34",0.999634235552304,"predict_GSE155698_Healthy_PBMC_1_BC_GSE51827_CL_n14.csv","GSE155698 HD1
n=2720","CTC cluster","Specificity",1,"CTC cluster"
"35",0.99926873857404,"predict_GSE155698_Healthy_PBMC_1_BC_GSE51827_SC_n15.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"36",1,"predict_GSE155698_Healthy_PBMC_1_BC_GSE55807_SC_n6.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"37",0.994606256742179,"predict_GSE155698_Healthy_PBMC_1_BC_GSE75367_SC_n61.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"38",0.99890590809628,"predict_GSE155698_Healthy_PBMC_1_BC_GSE86978_CL_n22.csv","GSE155698 HD1
n=2720","CTC cluster","Specificity",1,"CTC cluster"
"39",0.996756756756757,"predict_GSE155698_Healthy_PBMC_1_BC_GSE86978_SC_n55.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"40",0.987998588069185,"predict_GSE155698_Healthy_PBMC_1_HCC_CNP0000095_SC_n113.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"41",1,"predict_GSE155698_Healthy_PBMC_1_MELA_GSE157740_SC_n13.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"42",0.993919885550787,"predict_GSE155698_Healthy_PBMC_1_MELA_GSE157743_SC1_n76.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"43",1,"predict_GSE155698_Healthy_PBMC_1_MELA_GSE157743_SC2_n20.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"44",1,"predict_GSE155698_Healthy_PBMC_1_NSCLC_GSE74639_SC_n10.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"45",1,"predict_GSE155698_Healthy_PBMC_1_PC_GSE67980_SC_n77.csv","GSE155698 HD1
n=2720","Single CTC","Specificity",1,"Single CTC"
"46",0.99957507082153,"predict_GSE199994_HD1_BC_GSE144494_CL_n28.csv","GSE199994 HD1
n=7032","CTC cluster","Specificity",1,"CTC cluster"
"47",0.996918335901387,"predict_GSE199994_HD1_BC_GSE144494_SC_n107.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"48",0.996779162582271,"predict_GSE199994_HD1_BC_GSE144495_SC_n109.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"49",0.999858075503832,"predict_GSE199994_HD1_BC_GSE51827_CL_n14.csv","GSE199994 HD1
n=7032","CTC cluster","Specificity",1,"CTC cluster"
"50",0.999716191287073,"predict_GSE199994_HD1_BC_GSE51827_SC_n15.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"51",1,"predict_GSE199994_HD1_BC_GSE55807_SC_n6.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"52",0.997885238967997,"predict_GSE199994_HD1_BC_GSE75367_SC_n61.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"53",0.999574709384746,"predict_GSE199994_HD1_BC_GSE86978_CL_n22.csv","GSE199994 HD1
n=7032","CTC cluster","Specificity",1,"CTC cluster"
"54",0.99873006914068,"predict_GSE199994_HD1_BC_GSE86978_SC_n55.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"55",0.995241427571729,"predict_GSE199994_HD1_HCC_CNP0000095_SC_n113.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"56",1,"predict_GSE199994_HD1_MELA_GSE157740_SC_n13.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"57",0.997608328643782,"predict_GSE199994_HD1_MELA_GSE157743_SC1_n76.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"58",1,"predict_GSE199994_HD1_MELA_GSE157743_SC2_n20.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"59",1,"predict_GSE199994_HD1_NSCLC_GSE74639_SC_n10.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"60",1,"predict_GSE199994_HD1_PC_GSE67980_SC_n77.csv","GSE199994 HD1
n=7032","Single CTC","Specificity",1,"Single CTC"
"61",0.999700837654567,"pseudoPBMC_10000_BC_GSE144494_CL_n28.csv","Immune cells
n=10000","CTC cluster","Sensitivity",0.892857142857143,"CTC cluster"
"62",0.997823290788562,"pseudoPBMC_10000_BC_GSE144494_SC_n107.csv","Immune cells
n=10000","Single CTC","Sensitivity",0.794392523364486,"Single CTC"
"63",0.99772479968345,"pseudoPBMC_10000_BC_GSE144495_SC_n109.csv","Immune cells
n=10000","Single CTC","Sensitivity",0.788990825688073,"Single CTC"
"64",0.999900139804274,"pseudoPBMC_10000_BC_GSE51827_CL_n14.csv","Immune cells
n=10000","CTC cluster","Sensitivity",0.928571428571429,"CTC cluster"
"65",0.999800299550674,"pseudoPBMC_10000_BC_GSE51827_SC_n15.csv","Immune cells
n=10000","Single CTC","Sensitivity",0.866666666666667,"Single CTC"
"66",1,"pseudoPBMC_10000_BC_GSE55807_SC_n6.csv","Immune cells
n=10000","Single CTC","Sensitivity",1,"Single CTC"
"67",0.998509094523407,"pseudoPBMC_10000_BC_GSE75367_SC_n61.csv","Immune cells
n=10000","Single CTC","Sensitivity",0.754098360655738,"Single CTC"
"68",0.999700658551187,"pseudoPBMC_10000_BC_GSE86978_CL_n22.csv","Immune cells
n=10000","CTC cluster","Sensitivity",0.863636363636364,"CTC cluster"
"69",0.999104922923919,"pseudoPBMC_10000_BC_GSE86978_SC_n55.csv","Immune cells
n=10000","Single CTC","Sensitivity",0.836363636363636,"Single CTC"
"70",0.996637990705033,"pseudoPBMC_10000_HCC_CNP0000095_SC_n113.csv","Immune cells
n=10000","Single CTC","Sensitivity",0.699115044247788,"Single CTC"
"71",1,"pseudoPBMC_10000_MELA_GSE157740_SC_n13.csv","Immune cells
n=10000","Single CTC","Sensitivity",1,"Single CTC"
"72",0.99831282254863,"pseudoPBMC_10000_MELA_GSE157743_SC1_n76.csv","Immune cells
n=10000","Single CTC","Sensitivity",0.776315789473684,"Single CTC"
"73",1,"pseudoPBMC_10000_MELA_GSE157743_SC2_n20.csv","Immune cells
n=10000","Single CTC","Sensitivity",1,"Single CTC"
"74",1,"pseudoPBMC_10000_NSCLC_GSE74639_SC_n10.csv","Immune cells
n=10000","Single CTC","Sensitivity",1,"Single CTC"
"75",1,"pseudoPBMC_10000_PC_GSE67980_SC_n77.csv","Immune cells
n=10000","Single CTC","Sensitivity",1,"Single CTC"
"76",0.999601487778959,"pseudoPBMC_7500_BC_GSE144494_CL_n28.csv","Immune cells
n=7500","CTC cluster","Sensitivity",0.892857142857143,"CTC cluster"
"77",0.997107926909426,"pseudoPBMC_7500_BC_GSE144494_SC_n107.csv","Immune cells
n=7500","Single CTC","Sensitivity",0.794392523364486,"Single CTC"
"78",0.996977263766592,"pseudoPBMC_7500_BC_GSE144495_SC_n109.csv","Immune cells
n=7500","Single CTC","Sensitivity",0.788990825688073,"Single CTC"
"79",0.999866915091829,"pseudoPBMC_7500_BC_GSE51827_CL_n14.csv","Immune cells
n=7500","CTC cluster","Sensitivity",0.928571428571429,"CTC cluster"
"80",0.999733865602129,"pseudoPBMC_7500_BC_GSE51827_SC_n15.csv","Immune cells
n=7500","Single CTC","Sensitivity",0.866666666666667,"Single CTC"
"81",1,"pseudoPBMC_7500_BC_GSE55807_SC_n6.csv","Immune cells
n=7500","Single CTC","Sensitivity",1,"Single CTC"
"82",0.998016135431821,"pseudoPBMC_7500_BC_GSE75367_SC_n61.csv","Immune cells
n=7500","Single CTC","Sensitivity",0.754098360655738,"Single CTC"
"83",0.999601169901622,"pseudoPBMC_7500_BC_GSE86978_CL_n22.csv","Immune cells
n=7500","CTC cluster","Sensitivity",0.863636363636364,"CTC cluster"
"84",0.998808735936466,"pseudoPBMC_7500_BC_GSE86978_SC_n55.csv","Immune cells
n=7500","Single CTC","Sensitivity",0.836363636363636,"Single CTC"
"85",0.995533955076842,"pseudoPBMC_7500_HCC_CNP0000095_SC_n113.csv","Immune cells
n=7500","Single CTC","Sensitivity",0.699115044247788,"Single CTC"
"86",1,"pseudoPBMC_7500_MELA_GSE157740_SC_n13.csv","Immune cells
n=7500","Single CTC","Sensitivity",1,"Single CTC"
"87",0.997756071805702,"pseudoPBMC_7500_MELA_GSE157743_SC1_n76.csv","Immune cells
n=7500","Single CTC","Sensitivity",0.776315789473684,"Single CTC"
"88",1,"pseudoPBMC_7500_MELA_GSE157743_SC2_n20.csv","Immune cells
n=7500","Single CTC","Sensitivity",1,"Single CTC"
"89",1,"pseudoPBMC_7500_NSCLC_GSE74639_SC_n10.csv","Immune cells
n=7500","Single CTC","Sensitivity",1,"Single CTC"
"90",1,"pseudoPBMC_7500_PC_GSE67980_SC_n77.csv","Immune cells
n=7500","Single CTC","Sensitivity",1,"Single CTC"
"91",0.998908296943231,"predict_GSE155698_Healthy_PBMC_1_BC_GSE144494_CL_n28.csv","GSE155698 HD1
n=2720","CTC cluster","Sensitivity",0.892857142857143,"CTC cluster"
"92",0.992217898832685,"predict_GSE155698_Healthy_PBMC_1_BC_GSE144494_SC_n107.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",0.794392523364486,"Single CTC"
"93",0.991869918699187,"predict_GSE155698_Healthy_PBMC_1_BC_GSE144495_SC_n109.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",0.788990825688073,"Single CTC"
"94",0.999634235552304,"predict_GSE155698_Healthy_PBMC_1_BC_GSE51827_CL_n14.csv","GSE155698 HD1
n=2720","CTC cluster","Sensitivity",0.928571428571429,"CTC cluster"
"95",0.99926873857404,"predict_GSE155698_Healthy_PBMC_1_BC_GSE51827_SC_n15.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",0.866666666666667,"Single CTC"
"96",1,"predict_GSE155698_Healthy_PBMC_1_BC_GSE55807_SC_n6.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",1,"Single CTC"
"97",0.994606256742179,"predict_GSE155698_Healthy_PBMC_1_BC_GSE75367_SC_n61.csv","GSE155698 HD1
n=2720","Single CTC","Sensitivity",0.754098360655738,"Single CTC"
"98",0.99890590809628,"predict_GSE155698_Healthy_PBMC_1_BC_GSE86978_CL_n22.csv","GSE155698 HD1
n=2720","CTC cluster","Sensitivity",0.863636363636364,"CTC cluster"
