"","Smp","Model","Group","variable","value","Classification","Group2","Group3"
"1","BC GSE144494 SC n=107->n=85","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.141176470588235,"Top1","Single CTC (public)","Single CTC"
"2","BC GSE75367 SC n=61->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.326086956521739,"Top1","Single CTC (public)","Single CTC"
"3","Melanoma GSE157740 SC n=13->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",1,"Top1","Single CTC (public)","Single CTC"
"4","BC GSE55807 SC n=6->n=6","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0,"Top1","Single CTC (public)","Single CTC"
"5","BC GSE144494 CL n=28->n=25","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top1",0.2,"Top1","CTC cluster (public)","CTC cluster"
"6","BC GSE144495 SC n=109->n=86","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.255813953488372,"Top1","Single CTC (public)","Single CTC"
"7","Melanoma GSE157743 SC1 n=76->n=59","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.220338983050847,"Top1","Single CTC (public)","Single CTC"
"8","PC GSE67980 SC n=77->n=77","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.467532467532468,"Top1","Single CTC (public)","Single CTC"
"9","BC GSE86978 SC n=55->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.108695652173913,"Top1","Single CTC (public)","Single CTC"
"10","BC GSE51827 SC n=15->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.153846153846154,"Top1","Single CTC (public)","Single CTC"
"11","HCC CNP0000095 SC n=113->n=79","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.873417721518987,"Top1","Single CTC (public)","Single CTC"
"12","Melanoma GSE157743 SC2 n=20->n=20","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",1,"Top1","Single CTC (public)","Single CTC"
"13","BC GSE86978 CL n=22->n=19","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top1",0.210526315789474,"Top1","CTC cluster (public)","CTC cluster"
"14","BC GSE51827 CL n=14->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top1",0.230769230769231,"Top1","CTC cluster (public)","CTC cluster"
"15","NSCLC GSE74639 SC n=10->n=10","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top1",0.1,"Top1","Single CTC (public)","Single CTC"
"16","BC GSE144494 SC n=107->n=85","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.270588235294118,"Top2","Single CTC (public)","Single CTC"
"17","BC GSE75367 SC n=61->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.543478260869565,"Top2","Single CTC (public)","Single CTC"
"18","Melanoma GSE157740 SC n=13->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",1,"Top2","Single CTC (public)","Single CTC"
"19","BC GSE55807 SC n=6->n=6","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.666666666666667,"Top2","Single CTC (public)","Single CTC"
"20","BC GSE144494 CL n=28->n=25","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top2",0.4,"Top2","CTC cluster (public)","CTC cluster"
"21","BC GSE144495 SC n=109->n=86","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.441860465116279,"Top2","Single CTC (public)","Single CTC"
"22","Melanoma GSE157743 SC1 n=76->n=59","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.305084745762712,"Top2","Single CTC (public)","Single CTC"
"23","PC GSE67980 SC n=77->n=77","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.597402597402597,"Top2","Single CTC (public)","Single CTC"
"24","BC GSE86978 SC n=55->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.260869565217391,"Top2","Single CTC (public)","Single CTC"
"25","BC GSE51827 SC n=15->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.230769230769231,"Top2","Single CTC (public)","Single CTC"
"26","HCC CNP0000095 SC n=113->n=79","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.949367088607595,"Top2","Single CTC (public)","Single CTC"
"27","Melanoma GSE157743 SC2 n=20->n=20","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",1,"Top2","Single CTC (public)","Single CTC"
"28","BC GSE86978 CL n=22->n=19","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top2",0.473684210526316,"Top2","CTC cluster (public)","CTC cluster"
"29","BC GSE51827 CL n=14->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","CTC cluster (public)","Top2",0.384615384615385,"Top2","CTC cluster (public)","CTC cluster"
"30","NSCLC GSE74639 SC n=10->n=10","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top2",0.1,"Top2","Single CTC (public)","Single CTC"
"31","BC GSE144494 SC n=107->n=85","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.541176470588235,"Top3","Single CTC (public)","Single CTC"
"32","BC GSE75367 SC n=61->n=46","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.652173913043478,"Top3","Single CTC (public)","Single CTC"
"33","Melanoma GSE157740 SC n=13->n=13","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",1,"Top3","Single CTC (public)","Single CTC"
"34","BC GSE55807 SC n=6->n=6","/Users/macminiye/scRNA-seq_works/Cervix_scRNA_CTCs_project_use/panCTCs/bin/panCTC_classify/V10CC/V10CC_results","Single CTC (public)","Top3",0.833333333333333,"Top3","Single CTC (public)","Single CTC"
