"","Var1","Freq","PBMC","Group"
"1","CTC",36,"PBMC_GSE107747_HCC","Public"
"2","Immune",9585,"PBMC_GSE107747_HCC","Public"
"3","CTC",1148,"PBMC_GSE155698_PDAC","Public"
"4","Immune",58357,"PBMC_GSE155698_PDAC","Public"
"5","CTC",259,"PBMC_GSE127465_NSCLC","Public"
"6","Immune",14152,"PBMC_GSE127465_NSCLC","Public"
"7","CTC",225,"PBMC_GSE178318_CRC","Public"
"8","Immune",25755,"PBMC_GSE178318_CRC","Public"
"9","CTC",704,"PBMC_GSE162025_NPC","Public"
"10","Immune",89465,"PBMC_GSE162025_NPC","Public"
"11","CTC",25,"PBMC_GSE189125_Melanoma","Public"
"12","Immune",30188,"PBMC_GSE189125_Melanoma","Public"
"13","CTC",6,"PBMC_GSE213243_OVC","Public"
"14","Immune",10249,"PBMC_GSE213243_OVC","Public"
"15","CTC",136,"PBMC_OMIX001073_GC","Public"
"16","Immune",15840,"PBMC_OMIX001073_GC","Public"
"17","CTC",41,"PBMC_Experiment_Cervix","Experiment"
"18","Immune",49087,"PBMC_Experiment_Cervix","Experiment"
"19","CTC",242,"PBMC_GSE174463_BC","Experiment"
"20","Immune",7723,"PBMC_GSE174463_BC","Experiment"
"21","CTC",6,"PBMC_Experiment_Tonsil","Experiment"
"22","Immune",5002,"PBMC_Experiment_Tonsil","Experiment"
